	SRR3666998	SRR3666999	SRR3667000	SRR3667001	SRR3667002	SRR3667003	SRR3667004	SRR3667005	SRR3667006	SRR3667007	SRR3667010	SRR3667011	SRR3667012	SRR3667013	SRR3667014	SRR3667015	SRR3667016	SRR3667017	SRR3667018	SRR3667020	SRR3667021	SRR3667022	SRR3667023	SRR3667024	SRR3667025	SRR3667026	SRR3667027	SRR3667028	SRR3667029	SRR3667031	SRR3667032	SRR3667033	SRR3667034	SRR3667035	SRR3667036	SRR3667037	SRR3667038	SRR3667039	SRR3667040	SRR3667042	SRR3667043	SRR3667044	SRR3667045
ASV_0101	741	0	0	0	87	102	53	0	0	0	0	383	0	0	88	29	3354	2361	727	667	72	71	423	0	556	55	0	0	0	0	382	20	153	0	0	0	0	0	349	464	436	0	0
ASV_0102	104	425	3309	2105	74	0	27	0	0	0	0	94	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	0	0	0	84	91	0	1835	3166
ASV_0103	241	805	0	9	0	0	252	0	42	55	0	148	0	193	74	0	68	0	0	3	0	147	46	7	0	4	0	0	94	0	143	0	28	0	0	130	3	0	199	364	0	3239	4872
ASV_0104	0	0	0	0	0	0	0	80	0	0	0	0	4706	6300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0105	293	0	0	0	0	0	0	0	0	0	0	159	0	0	0	0	6241	3255	0	0	45	95	59	0	0	0	0	0	0	0	189	0	0	0	234	0	0	0	178	255	0	0	0
ASV_0106	343	2116	73	103	17	9	611	76	5	193	535	140	771	235	779	4	92	20	91	28	201	394	306	7	192	5	0	13	14	292	245	5	31	356	1442	52	44	42	92	534	32	9	444
ASV_0107	777	0	0	0	0	211	226	0	0	0	0	384	0	40	31	5	5612	2384	5	0	37	102	134	0	0	0	0	0	0	0	259	0	0	47	118	0	0	0	238	49	72	0	40
ASV_0108	228	0	0	0	0	0	222	413	0	0	0	219	44	88	0	0	20	13	0	0	56	49	20	0	0	0	0	0	0	0	155	4448	4445	0	0	0	0	0	153	35	16	0	0
ASV_0109	41	0	0	0	0	0	0	0	0	0	0	43	269	2370	0	0	14	0	0	0	0	42	148	3143	0	0	0	6	19	0	36	0	0	0	0	0	4077	0	51	131	0	0	0
ASV_0110	1311	0	0	33	89	0	221	0	0	0	52	784	236	0	411	4164	87	0	24	136	37	142	327	0	0	0	0	6	0	88	755	0	0	0	104	0	0	0	877	378	0	0	0
ASV_0111	169	0	3267	2641	1015	560	152	0	135	408	0	61	0	0	172	0	63	0	0	0	103	204	128	36	0	0	0	0	164	0	175	0	0	0	0	244	22	0	67	65	294	0	0
ASV_0112	329	212	0	0	0	6	0	0	2786	5284	0	210	0	0	118	0	16	0	0	0	25	70	80	0	0	0	0	0	0	0	256	0	0	0	174	0	0	0	207	354	0	0	0
ASV_0113	457	128	0	0	0	0	373	25	0	0	221	300	0	0	390	0	72	0	1512	1961	151	233	1524	0	0	0	883	868	0	0	339	0	0	0	0	0	0	0	309	342	0	0	0
ASV_0114	0	0	6069	3489	0	0	84	0	0	0	0	0	0	0	95	0	0	0	0	0	53	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	147	0	0	0
ASV_0115	343	0	0	0	0	0	0	0	0	0	0	220	0	0	134	0	29	0	0	0	201	36	66	0	2514	5842	0	0	0	0	321	0	0	0	0	0	0	0	203	140	0	0	0
ASV_0116	62	0	0	0	0	0	2387	7384	0	0	0	27	0	0	24	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	11	42	0	0	0
ASV_0117	349	19	679	228	0	0	468	0	4	0	0	116	0	69	470	0	131	0	0	0	412	415	295	28	0	0	803	726	636	0	197	0	0	10	0	867	85	0	146	374	0	806	1594
ASV_0118	305	8	0	0	26	130	511	18	144	516	174	154	150	744	519	0	206	244	36	237	128	650	558	86	144	140	20	13	890	0	218	16	0	122	805	1171	112	20	127	318	33	20	32
ASV_0119	167	0	1763	1425	348	956	228	0	0	44	739	226	253	85	390	99	73	44	248	339	135	307	492	0	0	0	106	94	0	0	279	0	0	29	0	0	0	373	197	162	0	28	81
ASV_0120	375	0	0	0	2531	2240	208	0	8	0	0	193	0	94	108	0	25	0	1306	703	0	21	383	0	470	52	0	0	0	0	298	162	265	0	0	0	0	0	226	0	0	12	0
ASV_0121	444	0	0	0	0	120	164	0	0	0	0	325	0	0	223	0	2417	2224	62	86	146	63	153	17	218	278	96	133	147	0	417	25	0	121	344	127	29	16	269	283	105	163	397
